County ,Avalanche_2000,Blizzard_2000,Drought_2000,Excessive_Heat_2000,Extreme_Cold/Wind_Chill_2000,Tornado_2000,Wildfire_2000,Total_Events_2000,Avalanche_2001,Blizzard_2001,Drought_2001,Excessive_Heat_2001,Extreme_Cold/Wind_Chill_2001,Tornado_2001,Wildfire_2001,Total_Events_2001,Avalanche_2002,Blizzard_2002,Drought_2002,Excessive_Heat_2002,Extreme_Cold/Wind_Chill_2002,Tornado_2002,Wildfire_2002,Total_Events_2002,Avalanche_2003,Blizzard_2003,Drought_2003,Excessive_Heat_2003,Extreme_Cold/Wind_Chill_2003,Tornado_2003,Wildfire_2003,Total_Events_2003,Avalanche_2004,Blizzard_2004,Drought_2004,Excessive_Heat_2004,Extreme_Cold/Wind_Chill_2004,Tornado_2004,Wildfire_2004,Total_Events_2004,Avalanche_2005,Blizzard_2005,Drought_2005,Excessive_Heat_2005,Extreme_Cold/Wind_Chill_2005,Tornado_2005,Wildfire_2005,Total_Events_2005,Avalanche_2006,Blizzard_2006,Drought_2006,Excessive_Heat_2006,Extreme_Cold/Wind_Chill_2006,Tornado_2006,Wildfire_2006,Total_Events_2006,Avalanche_2007,Blizzard_2007,Drought_2007,Excessive_Heat_2007,Extreme_Cold/Wind_Chill_2007,Tornado_2007,Wildfire_2007,Total_Events_2007,Avalanche_2008,Blizzard_2008,Drought_2008,Excessive_Heat_2008,Extreme_Cold/Wind_Chill_2008,Tornado_2008,Wildfire_2008,Total_Events_2008,Avalanche_2009,Blizzard_2009,Drought_2009,Excessive_Heat_2009,Extreme_Cold/Wind_Chill_2009,Tornado_2009,Wildfire_2009,Total_Events_2009,Avalanche_2010,Blizzard_2010,Drought_2010,Excessive_Heat_2010,Extreme_Cold/Wind_Chill_2010,Tornado_2010,Wildfire_2010,Total_Events_2010,Avalanche_2011,Blizzard_2011,Drought_2011,Excessive_Heat_2011,Extreme_Cold/Wind_Chill_2011,Tornado_2011,Wildfire_2011,Total_Events_2011,Avalanche_2012,Blizzard_2012,Drought_2012,Excessive_Heat_2012,Extreme_Cold/Wind_Chill_2012,Tornado_2012,Wildfire_2012,Total_Events_2012,Avalanche_2013,Blizzard_2013,Drought_2013,Excessive_Heat_2013,Extreme_Cold/Wind_Chill_2013,Tornado_2013,Wildfire_2013,Total_Events_2013,Avalanche_2014,Blizzard_2014,Drought_2014,Excessive_Heat_2014,Extreme_Cold/Wind_Chill_2014,Tornado_2014,Wildfire_2014,Total_Events_2014,Avalanche_2015,Blizzard_2015,Drought_2015,Excessive_Heat_2015,Extreme_Cold/Wind_Chill_2015,Tornado_2015,Wildfire_2015,Total_Events_2015,Avalanche_2016,Blizzard_2016,Drought_2016,Excessive_Heat_2016,Extreme_Cold/Wind_Chill_2016,Tornado_2016,Wildfire_2016,Total_Events_2016,Latitude,Longitude
Madera,0,0,4,0,0,1,0,5,0,0,3,0,0,0,3,6,0,0,0,0,4,1,1,6,0,0,3,0,0,0,3,6,0,0,2,0,0,0,9,11,0,0,0,0,0,0,9,9,0,0,0,0,0,0,13,13,0,0,0,0,0,0,2,2,0,0,0,0,0,0,11,11,0,0,0,0,0,0,3,3,0,0,0,0,0,0,6,6,0,0,0,0,0,0,3,3,0,0,0,0,0,0,2,2,0,0,0,0,0,0,4,4,0,0,36,0,0,0,17,53,0,0,36,0,0,0,9,45,0,0,36,0,0,0,2,38,37.1666138,-119.8343222
Marin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.0665885,-122.7344326
Mariposa,0,0,4,0,0,0,0,4,0,0,5,0,0,0,6,11,0,0,0,0,4,0,4,8,0,0,3,0,0,0,11,14,0,0,2,0,0,0,11,13,0,0,0,0,0,0,8,8,0,0,0,0,0,1,13,14,0,0,0,0,0,0,2,2,0,0,0,0,0,0,11,11,0,0,0,0,0,0,3,3,0,0,0,0,0,0,6,6,0,0,0,0,0,0,3,3,0,0,0,0,0,0,2,2,0,0,,0,0,0,3,3,0,0,36,0,0,0,17,53,0,0,36,0,0,0,9,45,0,0,36,0,0,0,2,38,37.5499352,-119.9010055
Mendocino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.4165528,-123.4177888
Merced,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,8,2,0,10,0,0,1,0,0,0,3,4,0,0,3,0,0,0,0,3,0,0,0,0,0,1,3,4,0,0,0,0,0,3,3,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,24,0,0,24,0,0,0,0,24,0,0,24,0,0,0,0,24,37.1666104,-120.7515832
Modoc,0,0,0,0,18,0,0,18,0,0,0,0,18,0,0,18,0,0,0,0,16,0,0,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,2,2,0,0,0,0,1,0,2,3,41.567,-120.7344068
Mono,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,37.9165951,-118.8676378
Monterey,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,36.2505225,-121.2515915
Napa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,38.4832423,-122.3344215
Nevada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,9,11,1,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,4,0,0,0,0,0,0,3,3,0,0,0,0,0,0,2,2,0,0,19,0,0,0,4,23,3,0,15,0,0,0,2,20,39.349896,-120.8843891
Orange,0,0,0,0,0,0,2,2,0,0,0,0,0,1,2,3,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1,1,0,0,14,0,0,1,3,18,0,0,14,0,0,0,1,15,0,0,24,0,0,0,1,25,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.7000199,-117.7675535
Placer,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,5,7,1,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,0,1,0,0,1,2,4,0,0,23,0,0,0,5,28,3,0,24,0,0,0,2,29,39.0665663,-120.7677098
Plumas,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,2,0,0,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,39.9832256,-120.8677306
Riverside,0,0,0,0,0,0,4,4,0,0,0,0,0,0,19,19,0,0,0,0,4,0,29,33,0,0,0,0,0,0,25,25,0,0,0,0,0,0,4,4,0,0,0,0,0,4,4,8,0,0,0,0,0,1,13,14,0,0,28,5,0,0,12,45,0,0,27,0,0,4,3,34,0,0,48,0,0,0,8,56,0,0,0,0,0,1,8,9,0,0,0,1,0,0,1,2,0,0,0,0,0,2,6,8,0,0,0,6,0,0,6,12,0,0,0,0,0,0,4,4,0,0,0,0,0,3,0,3,0,0,0,0,0,0,1,1,33.7333527,-116.0508341
Sacramento,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,18,0,0,0,2,20,0,0,13,0,0,0,0,13,38.4665756,-121.3177
San Benito,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,36.6166254,-121.0843605
San Bernardino,0,0,0,0,0,0,3,3,0,0,0,0,0,2,21,23,0,0,0,0,5,0,29,34,0,0,0,0,0,0,21,21,1,0,0,0,0,2,10,13,0,0,0,0,0,1,4,5,0,0,0,0,0,0,16,16,0,0,21,3,0,0,14,38,0,0,21,0,0,1,2,24,1,0,36,0,0,0,9,46,0,0,0,0,0,0,7,7,0,0,0,1,0,0,4,5,0,0,0,0,0,0,7,7,0,0,0,2,0,1,7,10,0,0,0,0,0,0,2,2,0,0,0,0,0,1,3,4,0,0,0,0,0,0,3,3,34.6666571,-116.167511
San Diego,0,0,0,0,0,1,9,10,0,0,0,0,0,0,20,20,0,0,0,0,6,0,35,41,0,0,0,0,0,0,18,18,1,0,1,0,0,1,9,12,0,0,0,0,0,4,3,7,0,0,0,0,0,2,2,4,0,0,34,5,0,1,18,58,0,0,35,0,0,0,2,37,0,0,60,0,0,0,1,61,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,5,5,0,0,0,6,0,0,3,9,0,0,0,0,0,0,10,10,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2,33.0333786,-116.8008578
San Francisco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7665967,-122.4511
San Joaquin,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,16,0,0,0,1,17,0,0,18,0,0,0,0,18,37.9332577,-121.3010571
San Luis Obispo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,35.3666401,-120.5343317
San Mateo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4499398,-122.351
Santa Barbara,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,2,0,0,4,6,0,0,0,4,0,0,3,7,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,34.7333174,-120.0343114
Santa Clara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.2332773,-121.7677276
Santa Cruz CA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.0666148,-122.051074
Shasta,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,4,0,0,0,0,14,18,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2,0,0,19,0,0,0,0,19,0,0,7,0,0,0,1,8,40.766543,-122.0344436
Sierra CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,3,4,0,0,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0,1,1,0,0,9,0,0,0,3,12,0,0,0,0,0,0,0,0,39.5832342,-120.5510468
Siskiyou,0,0,0,0,11,0,0,11,0,0,0,0,23,0,0,23,0,0,0,0,11,0,0,11,0,0,0,0,0,0,4,4,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,3,3,0,6,0,0,0,0,10,16,0,0,0,0,5,0,3,8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,3,0,2,0,0,0,0,2,4,2,0,0,0,0,0,3,5,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,41.5832007,-122.5178
Solano,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,18,0,0,0,2,20,0,0,13,0,0,0,0,13,38.2332472,-121.9510745
Sonoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.55,-122.9011111
Stanislaus,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,8,0,0,2,0,10,0,0,12,0,0,1,0,13,37.5499324,-121.0015991
Sutter,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,16,0,0,0,1,17,0,0,12,0,0,0,0,12,39.0165605,-121.7010773
Tehama,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,10,12,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,17,17,0,0,7,0,0,0,1,8,40.1332105,-122.3011089
Trinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.5831994,-123.1678065
Tulare,0,0,3,0,0,0,2,5,0,0,0,0,0,0,1,1,0,0,0,0,4,0,3,7,0,0,2,0,0,0,17,19,0,0,2,0,0,2,3,7,0,0,0,0,0,0,6,6,0,0,0,0,0,0,8,8,0,0,0,1,0,1,4,6,0,0,0,2,0,1,3,6,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,1,0,0,0,0,0,2,3,0,0,0,0,0,1,2,3,0,0,0,0,0,0,2,2,0,0,35,0,0,0,1,36,0,0,36,0,0,0,5,41,0,0,36,0,0,0,3,39,36.2666138,-118.8009286
Tuolumne,0,0,2,0,2,0,0,4,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,6,6,0,0,0,0,0,0,10,10,0,0,0,3,0,0,0,3,0,1,0,0,0,0,14,15,0,0,0,0,0,0,6,6,0,0,0,0,0,0,6,6,0,0,0,0,0,0,3,3,1,0,0,0,0,0,1,2,0,0,0,0,0,0,5,5,0,0,13,0,0,0,10,23,0,0,32,0,0,0,8,40,0,0,35,0,0,0,2,37,38.0665858,-119.9010137
Ventura,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1,1,0,0,0,6,0,0,0,6,0,0,0,3,0,1,0,4,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,34.4666605,-119.0176027
Yolo,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,10,0,0,0,1,11,0,0,7,0,0,0,0,7,38.6999039,-121.8844
Yuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,10,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,2,2,0,0,19,0,0,0,4,23,0,0,16,0,0,0,2,18,39.2832244,-121.4010744
Churchill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,39.5001972,-118.2512449
Clark,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,3,0,0,0,2,0,0,0,2,0,0,0,3,0,0,0,3,0,0,0,5,0,0,3,8,0,0,0,3,0,1,2,6,0,0,0,2,0,0,1,3,0,0,0,4,0,0,0,4,36.0002568,-114.8760983
Douglas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,38.8751858,-119.6262824
Elko,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.0001984,-115.5011746
