Location,Avalanche_2000,Blizzard_2000,Drought_2000,Excessive_Heat_2000,Extreme_Cold/Wind_Chill_2000,Tornado_2000,Wildfire_2000,Total_Events_2000,Avalanche_2001,Blizzard_2001,Drought_2001,Excessive_Heat_2001,Extreme_Cold/Wind_Chill_2001,Tornado_2001,Wildfire_2001,Total_Events_2001,Avalanche_2002,Blizzard_2002,Drought_2002,Excessive_Heat_2002,Extreme_Cold/Wind_Chill_2002,Tornado_2002,Wildfire_2002,Total_Events_2002,Avalanche_2003,Blizzard_2003,Drought_2003,Excessive_Heat_2003,Extreme_Cold/Wind_Chill_2003,Tornado_2003,Wildfire_2003,Total_Events_2003,Avalanche_2004,Blizzard_2004,Drought_2004,Excessive_Heat_2004,Extreme_Cold/Wind_Chill_2004,Tornado_2004,Wildfire_2004,Total_Events_2004,Avalanche_2005,Blizzard_2005,Drought_2005,Excessive_Heat_2005,Extreme_Cold/Wind_Chill_2005,Tornado_2005,Wildfire_2005,Total_Events_2005,Avalanche_2006,Blizzard_2006,Drought_2006,Excessive_Heat_2006,Extreme_Cold/Wind_Chill_2006,Tornado_2006,Wildfire_2006,Total_Events_2006,Avalanche_2007,Blizzard_2007,Drought_2007,Excessive_Heat_2007,Extreme_Cold/Wind_Chill_2007,Tornado_2007,Wildfire_2007,Total_Events_2007,Avalanche_2008,Blizzard_2008,Drought_2008,Excessive_Heat_2008,Extreme_Cold/Wind_Chill_2008,Tornado_2008,Wildfire_2008,Total_Events_2008,Avalanche_2009,Blizzard_2009,Drought_2009,Excessive_Heat_2009,Extreme_Cold/Wind_Chill_2009,Tornado_2009,Wildfire_2009,Total_Events_2009,Avalanche_2010,Blizzard_2010,Drought_2010,Excessive_Heat_2010,Extreme_Cold/Wind_Chill_2010,Tornado_2010,Wildfire_2010,Total_Events_2010,Avalanche_2011,Blizzard_2011,Drought_2011,Excessive_Heat_2011,Extreme_Cold/Wind_Chill_2011,Tornado_2011,Wildfire_2011,Total_Events_2011,Avalanche_2012,Blizzard_2012,Drought_2012,Excessive_Heat_2012,Extreme_Cold/Wind_Chill_2012,Tornado_2012,Wildfire_2012,Total_Events_2012,Avalanche_2013,Blizzard_2013,Drought_2013,Excessive_Heat_2013,Extreme_Cold/Wind_Chill_2013,Tornado_2013,Wildfire_2013,Total_Events_2013,Avalanche_2014,Blizzard_2014,Drought_2014,Excessive_Heat_2014,Extreme_Cold/Wind_Chill_2014,Tornado_2014,Wildfire_2014,Total_Events_2014,Avalanche_2015,Blizzard_2015,Drought_2015,Excessive_Heat_2015,Extreme_Cold/Wind_Chill_2015,Tornado_2015,Wildfire_2015,Total_Events_2015,Avalanche_2016,Blizzard_2016,Drought_2016,Excessive_Heat_2016,Extreme_Cold/Wind_Chill_2016,Tornado_2016,Wildfire_2016,Total_Events_2016,Latitude,Longitude,,
California,0,1,8,0,24,8,32,74,1,0,4,0,32,7,81,125,0,1,2,0,51,3,124,180,0,0,5,0,0,0,130,135,2,2,8,0,0,10,64,85,0,0,0,0,0,30,35,65,1,0,0,0,0,9,75,85,0,0,77,36,0,6,66,185,3,13,77,19,0,7,67,186,2,0,133,0,6,2,40,183,0,0,0,0,0,9,24,33,2,0,0,1,0,9,22,33,3,2,0,0,0,12,22,39,2,0,0,16,2,6,42,67,0,0,134,1,0,9,59,203,1,0,205,0,0,10,34,250,3,0,180,23,1,5,41,253,36.778259,-119.417931,,
Nevada,0,2,0,0,0,2,0,4,0,0,0,0,0,1,2,3,1,0,0,0,0,1,0,2,0,0,0,0,0,3,0,3,0,1,0,0,0,5,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,2,0,2,0,0,0,5,0,0,0,2,0,1,3,6,0,0,0,3,0,2,2,7,0,1,0,5,1,0,3,10,0,0,0,3,0,6,3,12,0,0,0,3,0,1,1,5,0,0,0,0,0,4,3,7,39.876019,-117.224121,,
Arizona,0,0,0,0,0,0,14,14,0,0,0,0,0,4,1,5,0,0,5,0,1,0,14,20,0,0,0,0,0,9,4,13,0,0,0,0,0,3,9,12,1,0,0,0,0,9,3,13,0,0,1,0,0,6,5,12,0,0,0,2,0,0,3,5,0,0,0,3,0,3,0,6,0,3,0,1,0,4,13,21,0,5,0,2,0,12,5,24,0,0,121,2,9,3,17,152,0,0,18,1,0,1,11,31,0,0,28,44,3,1,6,82,0,0,62,0,0,3,11,76,1,0,12,4,0,5,5,27,0,0,0,21,0,1,13,35,34.37,-111.56,,
New Mexico,0,0,153,44,0,5,3,205,0,0,0,0,0,5,0,5,0,0,176,0,0,3,4,183,0,0,176,0,0,7,0,183,0,0,22,0,0,11,2,35,0,0,0,0,0,7,0,7,0,2,66,0,0,5,2,75,0,0,0,0,0,25,1,26,0,0,0,0,0,11,4,15,0,8,0,0,1,4,1,14,0,4,0,0,1,12,2,19,0,8,423,0,46,2,19,498,0,0,500,0,0,6,8,514,0,5,500,0,0,2,8,515,0,0,484,0,0,14,5,503,0,29,96,0,0,6,2,133,1,0,0,0,0,9,2,12,34.59,-105.96,,
