State,Latitude,Longitude,Total_Events_2000,Total_Events_2001,Total_Events_2002,Total_Events_2003,Total_Events_2004,Total_Events_2005,Total_Events_2006,Total_Events_2007,Total_Events_2008,Total_Events_2009,Total_Events_2010,Total_Events_2011,Total_Events_2012,Total_Events_2013,Total_Events_2014,Total_Events_2015,Total_Events_2016
California,36.778259,-119.417931,74,125,180,135,85,65,85,185,186,183,33,33,39,67,203,250,253
Nevada,39.876019,-117.224121,4,3,2,3,6,0,1,3,0,0,5,6,7,10,12,5,7
Arizona,34.37,-111.56,14,5,20,13,12,13,12,5,6,21,24,152,31,82,76,27,35
New Mexico,34.59,-105.96,205,5,183,183,35,7,75,26,15,14,19,498,514,515,503,133,12
